titel;lage;miete;groesse;preis_qm;long;lati;pricecat
: TOP Einzimmerappartement in Mainz, Hartenberg/Münchfeld;Im Münchfeld, Hartenberg/Münchfeld, Mainz;330;23;14,34782609;8,238504;49,99915;12 bis 15 Euro pro Quadratmeter
Reizvolle Wohnung in Ortslage von Hechtsheim - barrierefrei!!;Hechtsheim, Mainz;760;60;12,66666667;8,2674162;49,9592577;12 bis 15 Euro pro Quadratmeter
Seniorenwohnen Ü60 mit optionalen Servicepaketen;Hechtsheim, Mainz;500;38;13,15789474;8,2674162;49,9592577;12 bis 15 Euro pro Quadratmeter
134 qm Penthouse-Maisonette Wohnung mit traumhaften Blick über den Taunus;Agnes-Karll-Straße 9, Gonsenheim, Mainz;1478,4;134;11,03283582;8,2233641;50,0076968;10 bis 12 Euro pro Quadratmeter
Smartes, neu renoviertes 1-Zimmer-Apartment mit Balkon, Pantryküche und Stellplatz;Gonsenheim, Mainz;590;40;14,75;8,2039952;50,0016764;12 bis 15 Euro pro Quadratmeter
Helle, gepflegte 2-Zimmer-Wohnung in der Mainzer Neustadt;Neckarstrasse, Neustadt, Mainz;670;61;10,98360656;8,2599701;50,011325;10 bis 12 Euro pro Quadratmeter
Fast ERSTBEZUG-Fubo-Heizung-Ruhig-hell-KFW 70;Finthen, Mainz;670;63;10,63492063;8,173984;49,983699;10 bis 12 Euro pro Quadratmeter
Sonnige gepflegte 3 Zimmer, DG, großer Balkon;Willi-Wolf-Straße, Bretzenheim, Mainz;850;75;11,33333333;8,2348421;49,9829679;10 bis 12 Euro pro Quadratmeter
Wohnung mit Terrasse;An der Plantage, Mombach, Mainz;530;50;10,6;8,225608;50,0153248;10 bis 12 Euro pro Quadratmeter
Schicke 2,5 Zimmer Galeriewohnung in Mainz-Hechtsheim;Hechtsheim, Mainz;810;81;10;8,2674162;49,9592577;10 bis 12 Euro pro Quadratmeter
Schöne zwei Zimmer Wohnung in Mainz, Stadtteil Neustadt;Hindenburgstraße, Neustadt, Mainz;550;60;9,166666667;8,2593931;50,0083601;8 bis 10 Euro pro Quadratmeter
Helle, geräumige 2-Zimmer-Wohnung nahe Uni-Klinik und St. Vincenz Krankenhaus;An der Goldgrube 5, Oberstadt, Mainz;690;56;12,32142857;8,26802;49,98917;12 bis 15 Euro pro Quadratmeter
Schöne 4- Zimmer Wohnung in Mainz, Neustadt, Taunusstr. 7;Neustadt, Mainz;1680;120;14;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Schöne vollmöblierte 1,5 Zimmer Wohnung ink. WLAN und TV;Hechtsheim, Mainz;600;31;19,35483871;8,2674162;49,9592577;15 bis 20 Euro pro Quadratmeter
Anspruchsvoll leben in erholsamer Mainzer Idylle;Bretzenheim, Mainz;1380;115;12;8,244128;49,981758;12 bis 15 Euro pro Quadratmeter
Schöne zwei Zimmer Souterrainwohnung in Mainz, Laubenheim;Laubenheim, Mainz;450;54;8,333333333;8,3132048;49,960694;8 bis 10 Euro pro Quadratmeter
wunderschöne Wohnung mit Rheinblick, stadtnah und doch ruhig, Rarität!;Neustadt, Mainz;1500;125;12;8,2582859;50,0099123;12 bis 15 Euro pro Quadratmeter
Mz-Finthen- Ruhige, sonnige und gepflegte 3 ZKB-Wohnung zu vermieten;Finthen, Mainz;800;91;8,791208791;8,173984;49,983699;8 bis 10 Euro pro Quadratmeter
*** WUNDERSCHÖNE WOHNUNG IN HISTORISCHEM GEBÄUDE ***;Kurt-Schumacher Str.  41F, Gonsenheim, Mainz;650;53;12,26415094;8,2135704;50,0050145;12 bis 15 Euro pro Quadratmeter
Gemütliche, helle Dachgeschoßwohnung in gepflegtem Altbau;Altstadt, Mainz;560;48;11,66666667;8,269193;49,9987651;10 bis 12 Euro pro Quadratmeter
Ihr neues Bad wartet auf Sie!;Am Taubertsberg 4, Hartenberg/Münchfeld, Mainz;719,45;65;11,06846154;8,25169;49,99807;10 bis 12 Euro pro Quadratmeter
Schöne ein Zimmer Wohnung in Mainz, Hechtsheim bei Pro Seniore Einzug ab 68 Jahren möglich;Kelterweg 1, Hechtsheim, Mainz;550;45;12,22222222;8,2885074;49,9658251;12 bis 15 Euro pro Quadratmeter
Schick, modern und super zentral gelegen!!! 1-Zimmerwohnung in der Neustadt!;Barbarossaring, Neustadt, Mainz;540;45;12;8,2500523;50,0107117;12 bis 15 Euro pro Quadratmeter
Schönes 1-Zimmer Appartement in Top-Lage zu vermieten!;Hintere Bleiche, Altstadt, Mainz;540;26;20,76923077;8,2643814;50,0026692;mehr als 20 Euro pro Quadratmeter
Gepflegte Wohnung mit Laminat, EBK & Balkon mit Blick ins Grüne - nur an berufstätigen Single!;Laubenheim, Mainz;500;53;9,433962264;8,3132048;49,960694;8 bis 10 Euro pro Quadratmeter
Schöne, geräumige drei Zimmer Wohnung in Mainz-Gonsenheim;Elsa-Brändström-Straße, Gonsenheim, Mainz;1150;94;12,23404255;8,2079466;50,0084125;12 bis 15 Euro pro Quadratmeter
Wohnen wie im Eigenheim! *MÖBLIERT*;Am oberen Born 8, Hechtsheim, Mainz;970;88;11,02272727;8,28121;49,96007;10 bis 12 Euro pro Quadratmeter
Sehr helles, ruhiges, neu renoviertes Studentenappartement in unmittelbarer Uninähe;Hartenberg-Münchfeld: Am Gonsenheimer Spiess, Hartenberg/Münchfeld, Mainz;350;25;14;8,241888;49,9984193;12 bis 15 Euro pro Quadratmeter
